Name,Team,Number,Position,Age,Height,Weight,College,Salary
Spencer Hawes,Charlotte Hornets,0,PF,28,7-1,245,Washington,6.110034e+06
Al Jefferson,Charlotte Hornets,25,C,31,6-10,289,,1.35e+07
Frank Kaminsky III,Charlotte Hornets,44,C,23,7-0,240,Wisconsin,2.61252e+06
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,6-7,232,Kentucky,6.331404e+06
Jeremy Lamb,Charlotte Hornets,3,SG,24,6-5,185,Connecticut,3.034356e+06
Courtney Lee,Charlotte Hornets,1,SG,30,6-5,200,Western Kentucky,5.675e+06
Jeremy Lin,Charlotte Hornets,7,PG,27,6-3,200,Harvard,2.139e+06
Kemba Walker,Charlotte Hornets,15,PG,26,6-1,184,Connecticut,1.2e+07
Marvin Williams,Charlotte Hornets,2,PF,29,6-9,237,North Carolina,7e+06
Cody Zeller,Charlotte Hornets,40,C,23,7-0,240,Indiana,4.2042e+06
Chris Bosh,Miami Heat,1,PF,32,6-11,235,Georgia Tech,2.219273e+07
Luol Deng,Miami Heat,9,SF,31,6-9,220,Duke,1.0151612e+07
Goran Dragic,Miami Heat,7,PG,30,6-3,190,,1.4783e+07
Gerald Green,Miami Heat,14,SF,30,6-7,205,,947276
Udonis Haslem,Miami Heat,40,PF,36,6-8,235,Florida,2.85494e+06
Joe Johnson,Miami Heat,2,SF,34,6-7,240,Arkansas,261894
Tyler Johnson,Miami Heat,8,SG,24,6-4,186,Fresno State,845059
Josh McRoberts,Miami Heat,4,PF,29,6-10,240,Duke,5.543725e+06
Josh Richardson,Miami Heat,0,SG,22,6-6,200,Tennessee,525093
Amar'e Stoudemire,Miami Heat,5,PF,33,6-10,245,,947276
Dwyane Wade,Miami Heat,3,SG,34,6-4,220,Marquette,2e+07
Briante Weber,Miami Heat,12,PG,23,6-2,165,Virginia Commonwealth,NaN
Hassan Whiteside,Miami Heat,21,C,26,7-0,265,Marshall,981348
Justise Winslow,Miami Heat,20,SF,20,6-7,225,Duke,2.48172e+06
Dorell Wright,Miami Heat,11,SF,30,6-9,205,,NaN
Dewayne Dedmon,Orlando Magic,3,C,26,7-0,245,USC,947276
Evan Fournier,Orlando Magic,10,SG,23,6-7,205,,2.288205e+06
Aaron Gordon,Orlando Magic,0,PF,20,6-9,220,Arizona,4.17168e+06
Mario Hezonja,Orlando Magic,23,SG,21,6-8,218,,3.74148e+06
Ersan Ilyasova,Orlando Magic,7,PF,29,6-10,235,,7.9e+06
Brandon Jennings,Orlando Magic,55,PG,26,6-1,169,,8.344497e+06
Devyn Marble,Orlando Magic,11,SF,23,6-6,200,Iowa,845059
Shabazz Napier,Orlando Magic,13,PG,24,6-1,175,Connecticut,1.29444e+06
Andrew Nicholson,Orlando Magic,44,PF,26,6-9,250,St. Bonaventure,2.380593e+06
Victor Oladipo,Orlando Magic,5,SG,24,6-4,210,Indiana,5.19252e+06
Elfrid Payton,Orlando Magic,4,PG,22,6-4,185,Louisiana-Lafayette,2.50572e+06
Jason Smith,Orlando Magic,14,PF,30,7-0,240,Colorado State,4.3e+06
Nikola Vucevic,Orlando Magic,9,C,25,7-0,260,USC,1.125e+07
C.J. Watson,Orlando Magic,32,PG,32,6-2,175,Tennessee,5e+06
Alan Anderson,Washington Wizards,6,SG,33,6-6,220,Michigan State,4e+06
Bradley Beal,Washington Wizards,3,SG,22,6-5,207,Florida,5.694674e+06
Jared Dudley,Washington Wizards,1,SF,30,6-7,225,Boston College,4.375e+06
Jarell Eddie,Washington Wizards,8,SG,24,6-7,218,Virginia Tech,561716
Drew Gooden,Washington Wizards,90,PF,34,6-10,250,Kansas,3.3e+06
Marcin Gortat,Washington Wizards,13,C,32,6-11,240,,1.1217391e+07
JJ Hickson,Washington Wizards,21,C,27,6-9,242,North Carolina State,273038
Nene Hilario,Washington Wizards,42,C,33,6-11,250,,1.3e+07
Markieff Morris,Washington Wizards,5,PF,26,6-10,245,Kansas,8e+06
Kelly Oubre Jr.,Washington Wizards,12,SF,20,6-7,205,Kansas,1.92024e+06
Otto Porter Jr.,Washington Wizards,22,SF,23,6-8,198,Georgetown,4.66296e+06
Ramon Sessions,Washington Wizards,7,PG,30,6-3,190,Nevada,2.170465e+06
Garrett Temple,Washington Wizards,17,SG,30,6-6,195,LSU,1.100602e+06
Marcus Thornton,Washington Wizards,15,SF,29,6-4,205,LSU,200600
John Wall,Washington Wizards,2,PG,25,6-4,195,Kentucky,1.585195e+07
Darrell Arthur,Denver Nuggets,0,PF,28,6-9,235,Kansas,2.814e+06
D.J. Augustin,Denver Nuggets,12,PG,28,6-0,183,Texas,3e+06
Will Barton,Denver Nuggets,5,SF,25,6-6,175,Memphis,3.533333e+06
Wilson Chandler,Denver Nuggets,21,SF,29,6-8,225,DePaul,1.0449438e+07
Kenneth Faried,Denver Nuggets,35,PF,26,6-8,228,Morehead State,1.1235955e+07
Danilo Gallinari,Denver Nuggets,8,SF,27,6-10,225,,1.4e+07
Gary Harris,Denver Nuggets,14,SG,21,6-4,210,Michigan State,1.58448e+06
Nikola Jokic,Denver Nuggets,15,C,21,6-10,250,,1.3e+06
Joffrey Lauvergne,Denver Nuggets,77,C,24,6-11,220,,1.709719e+06
Mike Miller,Denver Nuggets,3,SG,36,6-8,218,Florida,947276
Emmanuel Mudiay,Denver Nuggets,0,PG,20,6-5,200,,3.10224e+06
Jameer Nelson,Denver Nuggets,1,PG,34,6-0,190,Saint Joseph's,4.345e+06
Jusuf Nurkic,Denver Nuggets,23,C,21,7-0,280,,1.842e+06
JaKarr Sampson,Denver Nuggets,9,SG,23,6-9,214,St. John's,258489
Axel Toupane,Denver Nuggets,6,SG,23,6-7,210,,NaN
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,6-10,240,,3.950001e+06
Gorgui Dieng,Minnesota Timberwolves,5,C,26,6-11,241,Louisville,1.47444e+06
Kevin Garnett,Minnesota Timberwolves,21,PF,40,6-11,240,,8.5e+06
Tyus Jones,Minnesota Timberwolves,1,PG,20,6-2,195,Duke,1.28208e+06
Zach LaVine,Minnesota Timberwolves,8,PG,21,6-5,189,UCLA,2.14836e+06
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,6-6,223,UCLA,2.05692e+06
Adreian Payne,Minnesota Timberwolves,33,PF,25,6-10,237,Michigan State,1.93884e+06
Nikola Pekovic,Minnesota Timberwolves,14,C,30,6-11,307,,1.21e+07
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,6-9,212,Kentucky,947276
Ricky Rubio,Minnesota Timberwolves,9,PG,25,6-4,194,,1.27e+07
Damjan Rudez,Minnesota Timberwolves,10,SF,29,6-9,230,,1.1495e+06
Greg Smith,Minnesota Timberwolves,4,PF,25,6-10,250,Fresno State,NaN
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,7-0,244,Kentucky,5.7036e+06
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,6-8,199,Kansas,5.75868e+06
Steven Adams,Oklahoma City Thunder,12,C,22,7-0,255,Pittsburgh,2.27904e+06
Nick Collison,Oklahoma City Thunder,4,PF,35,6-10,255,Kansas,3.75e+06
Kevin Durant,Oklahoma City Thunder,35,SF,27,6-9,240,Texas,2.0158622e+07
Randy Foye,Oklahoma City Thunder,6,SG,32,6-4,213,Villanova,3.135e+06
Josh Huestis,Oklahoma City Thunder,34,SF,24,6-7,230,Stanford,1.14024e+06
Serge Ibaka,Oklahoma City Thunder,9,PF,26,6-10,245,,1.225e+07
Enes Kanter,Oklahoma City Thunder,11,C,24,6-11,245,Kentucky,1.64075e+07
Mitch McGary,Oklahoma City Thunder,33,PF,24,6-10,255,Michigan,1.46304e+06
Nazr Mohammed,Oklahoma City Thunder,13,C,38,6-10,250,Kentucky,222888
Anthony Morrow,Oklahoma City Thunder,2,SG,30,6-5,210,Georgia Tech,3.344e+06
Cameron Payne,Oklahoma City Thunder,22,PG,21,6-3,185,Murray State,2.02152e+06
Andre Roberson,Oklahoma City Thunder,21,SG,24,6-7,210,Colorado,1.2108e+06
Kyle Singler,Oklahoma City Thunder,5,SF,28,6-8,228,Duke,4.5e+06
Dion Waiters,Oklahoma City Thunder,3,SG,24,6-4,220,Syracuse,5.13843e+06
Russell Westbrook,Oklahoma City Thunder,0,PG,27,6-3,200,UCLA,1.6744218e+07
Cliff Alexander,Portland Trail Blazers,34,PF,20,6-8,240,Kansas,525093
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,6-9,215,Wake Forest,8.042895e+06
Pat Connaughton,Portland Trail Blazers,5,SG,23,6-5,206,Notre Dame,625093
Allen Crabbe,Portland Trail Blazers,23,SG,24,6-6,210,California,947276
Ed Davis,Portland Trail Blazers,17,C,27,6-10,240,North Carolina,6.980802e+06
Maurice Harkless,Portland Trail Blazers,4,SF,23,6-9,215,St. John's,2.894059e+06
Gerald Henderson,Portland Trail Blazers,9,SG,28,6-5,215,Duke,6e+06
Chris Kaman,Portland Trail Blazers,35,C,34,7-0,265,Central Michigan,5.016e+06
Meyers Leonard,Portland Trail Blazers,11,PF,24,7-1,245,Illinois,3.07588e+06
Damian Lillard,Portland Trail Blazers,0,PG,25,6-3,195,Weber State,4.236287e+06
C.J. McCollum,Portland Trail Blazers,3,SG,24,6-4,200,Lehigh,2.52516e+06
Luis Montero,Portland Trail Blazers,44,SG,23,6-7,185,Westchester CC,525093
Mason Plumlee,Portland Trail Blazers,24,C,26,6-11,235,Duke,1.41552e+06
Brian Roberts,Portland Trail Blazers,2,PG,30,6-1,173,Dayton,2.85494e+06
Noah Vonleh,Portland Trail Blazers,21,PF,20,6-9,240,Indiana,2.63772e+06
Trevor Booker,Utah Jazz,33,PF,28,6-8,228,Clemson,4.775e+06
Trey Burke,Utah Jazz,3,PG,23,6-1,191,Michigan,2.65824e+06
Alec Burks,Utah Jazz,10,SG,24,6-6,214,Colorado,9.463484e+06
Dante Exum,Utah Jazz,11,PG,20,6-6,190,,3.77772e+06
Derrick Favors,Utah Jazz,15,PF,24,6-10,265,Georgia Tech,1.2e+07
Rudy Gobert,Utah Jazz,27,C,23,7-1,245,,1.17588e+06
Gordon Hayward,Utah Jazz,20,SF,26,6-8,226,Butler,1.540957e+07
Rodney Hood,Utah Jazz,5,SG,23,6-8,206,Duke,1.34844e+06
Joe Ingles,Utah Jazz,2,SF,28,6-8,226,,2.05e+06
Chris Johnson,Utah Jazz,23,SF,26,6-6,206,Dayton,981348
Trey Lyles,Utah Jazz,41,PF,20,6-10,234,Kentucky,2.2398e+06
Shelvin Mack,Utah Jazz,8,PG,26,6-3,203,Butler,2.433333e+06
Raul Neto,Utah Jazz,25,PG,24,6-1,179,,900000
Tibor Pleiss,Utah Jazz,21,C,26,7-3,256,,2.9e+06
Jeff Withey,Utah Jazz,24,C,26,7-0,231,Kansas,947276
,,NaN,,NaN,,NaN,,NaN
